,Season,Seed_H,Last Seed_H,Max Seed 5Y_H,Avg Seed 5Y_H,Avg Seed 5Y Weighted_H,Seed_L,Last Seed_L,Max Seed 5Y_L,Avg Seed 5Y_L,Avg Seed 5Y Weighted_L,Team_ID_L,Team_ID_H,Outcome,Unnamed: 0,Seed_Matchup_Probability
0,1985,W02,,2,2.0,2.0,W01,,1,1.0,1.0,1207,1210,1,0,0.5384615384615384
1,1985,W03,,3,3.0,3.0,W02,,2,2.0,2.0,1210,1228,1,1,0.6071428571428571
2,1985,W03,,3,3.0,3.0,W06,,6,6.0,6.0,1208,1228,0,2,0.3888888888888888
3,1985,W04,,4,4.0,4.0,W01,,1,1.0,1.0,1207,1260,1,3,0.7301587301587301
4,1985,W04,,4,4.0,4.0,W13,,13,13.0,13.0,1233,1260,0,4,0.2071428571428572
5,1985,W05,,5,5.0,5.0,W04,,4,4.0,4.0,1260,1374,1,5,0.5540540540540541
6,1985,W05,,5,5.0,5.0,W12,,12,12.0,12.0,1330,1374,0,6,0.3571428571428571
7,1985,W07,,7,7.0,7.0,W02,,2,2.0,2.0,1210,1393,1,7,0.6951219512195121
8,1985,W07,,7,7.0,7.0,W10,,10,10.0,10.0,1177,1393,0,8,0.3928571428571429
9,1985,W08,,8,8.0,8.0,W01,,1,1.0,1.0,1207,1396,1,9,0.8
10,1985,W09,,9,9.0,9.0,W08,,8,8.0,8.0,1396,1439,1,10,0.4857142857142857
11,1985,W11,,11,11.0,11.0,W06,,6,6.0,6.0,1208,1455,1,11,0.6285714285714286
12,1985,W14,,14,14.0,14.0,W03,,3,3.0,3.0,1228,1318,1,12,0.85
13,1985,W15,,15,15.0,15.0,W02,,2,2.0,2.0,1210,1273,1,13,0.9428571428571428
14,1985,W16,,16,16.0,16.0,W01,,1,1.0,1.0,1207,1250,1,14,0.9928571428571428
15,1985,X01,,1,1.0,1.0,W01,,1,1.0,1.0,1207,1385,1,15,0.5
16,1985,X01,,1,1.0,1.0,X03,,3,3.0,3.0,1301,1385,0,16,0.4
17,1985,X01,,1,1.0,1.0,X09,,9,9.0,9.0,1116,1385,0,17,0.08333333333333337
18,1985,X01,,1,1.0,1.0,X12,,12,12.0,12.0,1246,1385,0,18,0.0
19,1985,X01,,1,1.0,1.0,X16,,16,16.0,16.0,1380,1385,0,19,0.007142857142857118
20,1985,X02,,2,2.0,2.0,X07,,7,7.0,7.0,1104,1433,1,20,0.30487804878048785
21,1985,X02,,2,2.0,2.0,X15,,15,15.0,15.0,1267,1433,0,21,0.05714285714285716
