,Season,Seed_Team_ID_H,Seed_Team_ID_L,Team_ID_L,Team_ID_H,Higher_Seed,Lower_Seed,Did_Higher_Seed_Win,High_Seed_Win_Percentage,Frequency_of_Seed_Matchup
0,1985,2,1,1207,1210,1,2,1,0.5384615384615384,65
1,1985,3,2,1210,1228,2,3,1,0.6071428571428571,56
2,1985,3,6,1208,1228,3,6,1,0.6111111111111112,72
3,1985,4,1,1207,1260,1,4,1,0.7301587301587301,63
4,1985,4,13,1233,1260,4,13,1,0.7928571428571428,140
5,1985,5,4,1260,1374,4,5,1,0.5540540540540541,74
6,1985,5,12,1330,1374,5,12,1,0.6428571428571429,140
7,1985,7,2,1210,1393,2,7,1,0.6951219512195121,82
8,1985,7,10,1177,1393,7,10,1,0.6071428571428571,140
9,1985,8,1,1207,1396,1,8,1,0.8,70
10,1985,9,8,1396,1439,8,9,1,0.4857142857142857,140
11,1985,11,6,1208,1455,6,11,1,0.6285714285714286,140
12,1985,14,3,1228,1318,3,14,1,0.85,140
13,1985,15,2,1210,1273,2,15,1,0.9428571428571428,140
14,1985,16,1,1207,1250,1,16,1,0.9928571428571429,140
15,1985,1,1,1207,1385,1,1,0,0.0,20
16,1985,1,3,1301,1385,1,3,1,0.6,35
17,1985,1,9,1116,1385,1,9,1,0.9166666666666666,72
18,1985,1,12,1246,1385,1,12,1,1.0,20
19,1985,1,16,1380,1385,1,16,1,0.9928571428571429,140
20,1985,2,7,1104,1433,2,7,0,0.6951219512195121,82
21,1985,2,15,1267,1433,2,15,1,0.9428571428571428,140
22,1985,3,7,1104,1301,3,7,1,0.6,15
23,1985,4,12,1246,1424,4,12,0,0.6842105263157895,38
24,1985,4,13,1361,1424,4,13,1,0.7928571428571428,140
25,1985,5,12,1246,1449,5,12,0,0.6428571428571429,140
26,1985,8,9,1116,1234,8,9,0,0.4857142857142857,140
27,1985,10,7,1104,1112,7,10,1,0.6071428571428571,140
28,1985,11,3,1301,1431,3,11,1,0.6530612244897959,49
29,1985,11,6,1409,1431,6,11,0,0.6285714285714286,140
30,1985,14,3,1301,1305,3,14,1,0.85,140
31,1985,1,2,1272,1328,1,2,0,0.5384615384615384,65
32,1985,1,5,1256,1328,1,5,1,0.8297872340425532,47
33,1985,1,9,1229,1328,1,9,1,0.9166666666666666,72
34,1985,1,16,1299,1328,1,16,1,0.9928571428571429,140
35,1985,2,11,1130,1272,2,11,1,0.875,16
36,1985,3,11,1130,1181,3,11,0,0.6530612244897959,49
37,1985,4,5,1256,1326,4,5,0,0.5540540540540541,74
38,1985,4,13,1235,1326,4,13,1,0.7928571428571428,140
39,1985,6,11,1130,1403,6,11,0,0.6285714285714286,140
40,1985,7,2,1272,1412,2,7,1,0.6951219512195121,82
41,1985,7,10,1277,1412,7,10,1,0.6071428571428571,140
42,1985,8,9,1229,1425,8,9,0,0.4857142857142857,140
43,1985,12,5,1256,1338,5,12,1,0.6428571428571429,140
44,1985,14,3,1181,1337,3,14,1,0.85,140
45,1985,15,2,1272,1335,2,15,1,0.9428571428571428,140
46,1985,1,16,1192,1276,1,16,1,0.9928571428571429,140
47,1985,2,11,1120,1314,2,11,1,0.875,16
48,1985,2,15,1292,1314,2,15,1,0.9428571428571428,140
49,1985,3,11,1120,1242,3,11,0,0.6530612244897959,49
50,1985,6,11,1120,1345,6,11,0,0.6285714285714286,140
51,1985,7,2,1314,1323,2,7,1,0.6951219512195121,82
52,1985,8,1,1207,1437,1,8,0,0.8,70
53,1985,8,2,1272,1437,2,8,0,0.2857142857142857,7
54,1985,8,1,1276,1437,1,8,0,0.8,70
55,1985,8,2,1314,1437,2,8,0,0.2857142857142857,7
56,1985,8,5,1268,1437,5,8,0,0.3333333333333333,3
57,1985,8,9,1173,1437,8,9,1,0.4857142857142857,140
58,1985,10,7,1323,1333,7,10,1,0.6071428571428571,140
59,1985,12,5,1268,1275,5,12,1,0.6428571428571429,140
60,1985,13,4,1261,1298,4,13,0,0.7928571428571428,140
61,1985,13,5,1268,1298,5,13,1,0.8235294117647058,17
62,1985,14,3,1242,1325,3,14,1,0.85,140
63,1986,1,12,1177,1181,1,12,1,1.0,20
64,1986,2,7,1298,1393,2,7,0,0.6951219512195121,82
65,1986,2,15,1135,1393,2,15,1,0.9428571428571428,140
66,1986,3,14,1156,1231,3,14,0,0.85,140
67,1986,4,12,1177,1328,4,12,0,0.6842105263157895,38
68,1986,4,13,1318,1328,4,13,1,0.7928571428571428,140
69,1986,5,12,1177,1438,5,12,0,0.6428571428571429,140
70,1986,6,11,1350,1386,6,11,1,0.6285714285714286,140
71,1986,6,14,1156,1386,6,14,0,0.875,16
72,1986,7,1,1181,1298,1,7,1,0.8571428571428571,7
73,1986,7,14,1156,1298,7,14,1,1.0,1
74,1986,8,1,1181,1330,1,8,1,0.8,70
75,1986,9,8,1330,1452,8,9,1,0.4857142857142857,140
76,1986,10,7,1298,1409,7,10,1,0.6071428571428571,140
77,1986,16,1,1181,1290,1,16,1,0.9928571428571429,140
78,1986,1,1,1181,1242,1,1,0,0.0,20
79,1986,2,7,1235,1276,2,7,0,0.6951219512195121,82
80,1986,2,15,1103,1276,2,15,1,0.9428571428571428,140
81,1986,3,14,1114,1323,3,14,0,0.85,140
82,1986,5,1,1242,1277,1,5,1,0.8297872340425532,47
83,1986,5,4,1207,1277,4,5,0,0.5540540540540541,74
84,1986,6,1,1242,1301,1,6,1,0.7272727272727273,11
85,1986,6,7,1235,1301,6,7,1,0.5714285714285714,7
86,1986,6,11,1234,1301,6,11,1,0.6285714285714286,140
87,1986,6,14,1114,1301,6,14,1,0.875,16
88,1986,9,1,1242,1396,1,9,1,0.9166666666666666,72
89,1986,9,8,1239,1396,8,9,0,0.4857142857142857,140
90,1986,10,7,1235,1275,7,10,1,0.6071428571428571,140
91,1986,12,5,1277,1449,5,12,1,0.6428571428571429,140
92,1986,13,4,1207,1403,4,13,1,0.7928571428571428,140
93,1986,16,1,1242,1299,1,16,1,0.9928571428571429,140
94,1986,1,5,1104,1246,1,5,1,0.8297872340425532,47
95,1986,1,16,1172,1246,1,16,1,0.9928571428571429,140
96,1986,3,11,1261,1272,3,11,0,0.6530612244897959,49
97,1986,3,14,1123,1272,3,14,1,0.85,140
98,1986,4,5,1104,1228,4,5,0,0.5540540540540541,74
99,1986,4,13,1193,1228,4,13,1,0.7928571428571428,140
100,1986,6,11,1261,1345,6,11,0,0.6285714285714286,140
101,1986,7,10,1437,1439,7,10,0,0.6071428571428571,140
102,1986,8,1,1246,1443,1,8,1,0.8,70
103,1986,8,9,1304,1443,8,9,1,0.4857142857142857,140
104,1986,10,2,1210,1437,2,10,1,0.64,50
105,1986,11,1,1246,1261,1,11,0,0.5714285714285714,7
106,1986,11,2,1210,1261,2,11,0,0.875,16
107,1986,11,2,1257,1261,2,11,1,0.875,16
108,1986,12,5,1104,1462,5,12,1,0.6428571428571429,140
109,1986,15,2,1210,1265,2,15,1,0.9428571428571428,140
110,1986,1,8,1120,1385,1,8,0,0.8,70
111,1986,1,16,1286,1385,1,16,1,0.9928571428571429,140
112,1986,2,1,1181,1257,1,2,0,0.5384615384615384,65
113,1986,2,7,1133,1257,2,7,1,0.6951219512195121,82
114,1986,2,8,1120,1257,2,8,1,0.2857142857142857,7
115,1986,2,15,1180,1257,2,15,1,0.9428571428571428,140
116,1986,3,2,1257,1314,2,3,1,0.6071428571428571,56
